name,type,dragon_element,fire_element,ice_element,thunder_element,water_element,fire_weak,water_weak,thunder_weak,ice_weak,dragon_weak
Teostra,Elder Dragon,1,1,0,0,0,0.0,0.28,0.01,0.15,0.01
Vaal Hazak,Elder Dragon,0,0,0,0,0,0.4,0.02,0.08,0.17,0.12
Kirin,Elder Dragon,0,0,0,1,0,0.19,0.1,0.0,0.1,0.01
Black Diablos,Flying Wyvern,0,0,0,0,0,0.0,0.32,0.06,0.45,0.0
Azure Rathalos,Flying Wyvern,0,1,0,0,0,0.0,0.03,0.03,0.1,0.35
Pink Rathian,Flying Wyvern,0,1,0,0,0,0.0,0.02,0.09,0.02,0.36
Xeno'jiiva,Elder Dragon,1,1,0,0,0,0.44,0.53,0.53,0.53,0.44
Bazelgeuse,Flying Wyvern,0,1,0,0,0,0.0,0.03,0.16,0.08,0.08
Kulve Taroth (covered in gold),Elder Dragon,0,1,0,0,0,0.0,0.05,0.05,0.07,0.03
Kulve Taroth (not covered in gold),Elder Dragon,0,1,0,0,0,0.02,0.09,0.09,0.12,0.15
Lunastra,Elder Dragon,0,1,0,0,0,0.0,0.01,0.01,0.46,0.25
Behemoth,Elder Dragon,0,1,0,1,0,0.06,0.19,0.11,0.13,0.24
Leshen,Relicts,0,0,0,0,0,0.13,0.0,0.04,0.01,0.04
Ancient Leshen,Relict,0,0,0,0,0,0.13,0.0,0.04,0.01,0.04
Beotodus,Piscine Wyvern,0,0,1,0,0,0.24,0.01,0.04,0.0,0.0
Banbaro,Brute Wyvern,0,0,0,0,0,0.05,0.0,0.01,0.0,0.15
Viper Tobi-Kadachi,Fanged Wyvern,0,0,0,0,0,0.01,0.0,0.17,0.08,0.01
Nightshade Paolumu,Flying Wyvern,0,0,0,0,0,0.07,0.19,0.02,0.02,0.0
Coral Pukei-Pukei,Bird Wyvern,0,0,0,0,1,0.01,0.0,0.03,0.17,0.01
Barioth,Flying Wyvern,0,0,1,0,0,0.22,0.01,0.1,0.0,0.05
Nargacuga,Flying Wyvern,0,0,0,0,0,0.08,0.0,0.24,0.02,0.02
Glavenus,Brute Wyvern,0,1,0,0,0,0.0,0.33,0.04,0.09,0.08
Brachydios,Brute Wyvern,0,0,0,0,0,0.0,0.09,0.02,0.19,0.01
Tigrex,Flying Wyvern,0,0,0,0,0,0.0,0.04,0.16,0.01,0.09
Shrieking Legiana,Flying Wyvern,0,0,1,0,0,0.19,0.02,0.07,0.0,0.01
Velkhana,Elder Dragon,0,0,1,0,0,0.46,0.02,0.07,0.0,0.17
Fulgur Anjanath (not charged),Brute Wyvern,0,0,0,1,0,0.05,0.15,0.0,0.27,0.01
Fulgur Anjanath (charged),Brute Wyvern,0,0,0,1,0,0.04,0.24,0.0,0.1,0.01
Acidic Glavenus (not crystallized),Brute Wyvern,0,0,0,0,0,0.25,0.04,0.1,0.05,0.06
Acidic Glavenus (crystallized),Brute Wyvern,0,0,0,0,0,0.27,0.03,0.1,0.04,0.05
Seething Bazelgeuse,Flying Wyvern,0,1,0,0,0,0.0,0.01,0.09,0.17,0.01
Blackveil Vaal Hazak,Elder Dragon,0,0,0,0,0,0.34,0.04,0.09,0.18,0.31
Namielle,Elder Dragon,0,0,0,1,1,0.38,0.0,0.0,0.11,0.26
Ebony Odogaron,Fanged Wyvern,1,0,0,0,0,0.18,0.41,0.18,0.18,0.02
Savage Deviljho,Brute Wyvern,1,1,0,0,0,0.17,0.15,0.3,0.1,0.28
Shara Ishvalda,Elder Dragon,0,0,0,0,0,0.04,0.16,0.0,0.36,0.03
Zinogre,Fanged Wyvern,0,0,0,1,0,0.02,0.13,0.0,0.28,0.02
Rajang,Fanged Beast,0,0,0,1,0,0.0,0.02,0.0,0.18,0.0
Yian Garuga,Bird Wyvern,0,1,0,0,0,0.0,0.27,0.0,0.02,0.07
Brute Tigrex,Flying Wyvern,0,0,0,0,0,0.0,0.16,0.1,0.04,0.08
Gold Rathian,Flying Wyvern,0,1,0,0,0,0.0,0.02,0.09,0.02,0.36
Stygian Zinogre (not emitting light),Fanged Wyvern,1,0,0,0,0,0.04,0.08,0.13,0.04,0.0
Stygian Zinogre (emitting light),Fanged Wyvern,1,0,0,0,0,0.08,0.14,0.22,0.08,0.0
Safi'jiiva,Elder Dragon,0,1,0,0,0,1.0,1.0,1.0,1.0,1.0
Silver Rathalos,Flying Wyvern,0,1,0,0,0,0.0,0.03,0.03,0.1,0.35
Alatreon (on fire),Elder Dragon,1,1,1,1,1,0.0,0.08,0.01,0.15,0.0
Alatreon (on dragon),Elder Dragon,1,1,1,1,1,0.05,0.03,0.03,0.05,0.1
Alatreon (on ice),Elder Dragon,1,1,1,1,1,0.15,0.01,0.08,0.0,0.0
Furious Rajang,Fanged Beast,0,0,0,1,0,0.0,0.02,0.0,0.15,0.0
Raging Brachydios,Brute Wyvern,0,1,0,0,0,0.0,0.15,0.03,0.23,0.01
Ruiner Nergigante,Elder Dragon,0,0,0,0,0,0.11,0.08,0.39,0.06,0.53
Frostfang Barioth,Flying Wyvern,0,0,1,0,0,0.22,0.01,0.1,0.0,0.05
Ajarakan,Fanged Beast,0,1,0,0,0,0.0,0.71,0.0,0.42,0.1
Arkveld,Flying Wyvern,1,0,0,0,0,0.23,0.19,0.15,0.19,0.26
Balahara,Leviathan,0,0,0,0,1,0.07,0.0,0.42,0.03,0.02
Blangonga,Fanged Beast,0,0,1,0,0,0.82,0.02,0.14,0.0,0.0
Chatacabra,Amphibian,0,0,0,0,0,0.05,0.01,0.54,0.17,0.0
Congalala,Fanged Beast,0,1,0,0,0,0.69,0.08,0.06,0.18,0.02
Doshaguma,Fanged Beast,0,0,0,0,0,0.57,0.04,0.12,0.04,0.02
Gore Magala,Demi Elder,0,0,0,0,0,1.0,0.0,0.2,0.05,0.11
Gravios,Flying Wyvern,0,1,0,0,0,0.0,1.0,0.02,0.07,0.73
Guardian Arkveld,Construct,1,0,0,0,0,0.23,0.19,0.15,0.19,0.26
Guardian Doshaguma,Construct,0,0,0,0,0,0.69,0.02,0.11,0.08,0.1
Guardian Ebony Odogaron,Construct,1,0,0,0,0,0.38,0.84,0.25,0.28,0.21
Guardian Fulgur Anjanath,Construct,0,0,0,1,0,0.08,0.45,0.0,0.67,0.14
Guardian Rathalos,Construct,0,1,0,0,0,0.0,0.11,0.2,0.1,0.47
Gypceros,Bird Wyvern,0,0,0,0,0,0.47,0.08,0.0,0.24,0.13
Hirabami,Leviathan,0,0,1,0,0,0.63,0.05,0.11,0.0,0.04
Jin Dahaad,Leviathan,0,0,1,0,0,0.55,0.06,0.05,0.0,0.04
Lala Barina,Temnoceran,0,0,0,0,0,0.78,0.0,0.13,0.04,0.0
Nerscylla,Temnoceran,0,0,0,0,0,0.92,0.0,0.06,0.04,0.0
Nu Udra,Cephalopod,0,1,0,0,0,0.0,0.83,0.11,0.03,0.11
Quematrice,Brute Wyvern,0,1,0,0,0,0.0,0.57,0.02,0.06,0.02
Rathalos,Flying Wyvern,0,1,0,0,0,0.0,0.05,0.09,0.04,0.59
Rathian,Flying Wyvern,0,1,0,0,0,0.0,0.04,0.14,0.04,0.37
Rey Dau,Flying Wyvern,0,0,0,1,0,0.06,0.13,0.0,0.25,0.04
Rompopolo,Brute Wyvern,0,0,0,0,0,0.05,0.48,0.04,0.04,0.02
Uth Duna,Leviathan,0,0,0,0,1,0.07,0.0,1.0,0.01,0.01
Xu Wu,Cephalopod,0,0,0,0,0,0.05,0.02,0.03,1.0,0.0
Yian Kut-Ku,Bird Wyvern,0,1,0,0,0,0.07,0.21,0.34,0.43,0.01
Zoh Shia,Construct,0,1,0,1,0,0.31,0.05,0.04,0.08,1.0
Agnaktor,Leviathan,0,1,0,0,0,0.05,0.77,0.19,0.31,0.45
Akantor,Flying Wyvern,1,1,0,0,0,0.0,0.13,0.64,0.03,0.87
Arzuros,Fanged Beast,0,0,0,0,0,0.3,0.01,0.13,0.28,0.0
Redhelm Arzuros,Fanged Beast,0,0,0,0,0,0.14,0.0,0.01,0.14,0.0
Astalos,Flying Wyvern,0,0,0,1,0,0.11,0.09,0.0,0.34,0.05
Azurebolt Astalos,Flying Wyvern,0,0,0,1,0,0.09,0.08,0.0,0.32,0.04
Ahtal Ka,Neopteron,0,0,0,0,0,0.0,0.13,0.32,0.01,0.0
Barioth,Flying Wyvern,0,0,1,0,0,0.32,0.01,0.18,0.0,0.06
Barroth,Brute Wyvern,0,0,0,0,1,0.42,0.0,0.0,0.19,0.03
Basarios,Flying Wyvern,0,1,0,0,0,0.14,0.23,0.14,0.17,0.37
Blangonga,Fanged Beast,0,0,1,0,0,0.27,0.02,0.17,0.0,0.0
Brachydios,Brute Wyvern,0,0,0,0,0,0.0,0.23,0.03,0.18,0.01
Raging Brachydios,Brute Wyvern,0,0,0,0,0,0.0,0.24,0.06,0.79,0.02
Bulldrome,Fanged Beast,0,0,0,0,0,0.05,0.01,0.14,0.0,0.0
Cephadrome,Piscine Wyvern,0,0,0,0,1,0.0,0.12,0.19,0.47,0.03
Congalala,Fanged Beast,0,1,0,0,0,0.44,0.1,0.12,0.21,0.0
Daimyo Hermitaur,Carapaceon,0,0,0,0,1,1.0,0.09,0.67,0.29,0.01
Stonefist Hermitaur,Carapaceon,0,0,0,0,1,0.07,0.0,0.55,0.2,0.0
Deviljho,Brute Wyvern,1,1,1,0,1,0.16,0.13,0.61,0.12,0.61
Savage Deviljho,Brute Wyvern,1,1,1,0,1,0.35,0.29,0.9,0.45,0.35
Diablos,Flying Wyvern,0,0,0,0,0,0.01,0.13,0.16,0.51,0.16
Bloodbath Diablos,Flying Wyvern,0,0,0,0,0,0.0,0.64,0.31,0.4,0.31
Duramboros,Brute Wyvern,0,0,0,0,0,0.79,0.05,0.31,0.49,0.23
Gammoth,Fanged Beast,0,0,1,0,0,0.62,0.01,0.14,0.0,0.0
Elderfrost Gammoth,Fanged Beast,0,0,1,0,0,0.42,0.01,0.17,0.0,0.0
Gendrome,Bird Wyvern,0,0,0,0,0,0.05,0.04,0.12,0.25,0.01
Giadrome,Bird Wyvern,0,0,1,0,0,0.2,0.04,0.12,0.01,0.01
Glavenus,Brute Wyvern,0,1,0,0,0,0.0,0.72,0.11,0.29,0.13
Hellblade Glavenus,Brute Wyvern,0,1,0,0,0,0.0,0.5,0.4,0.6,0.4
Gore Magala,Demi Elder,0,0,0,0,0,0.66,0.0,0.27,0.07,0.19
Chaotic Gore Magala,???,0,0,0,0,0,0.76,0.0,0.27,0.06,0.38
Gravios,Flying Wyvern,0,1,0,0,0,0.0,1.0,0.04,0.1,0.46
Great Maccao,Bird Wyvern,0,0,0,0,0,0.23,0.07,0.03,0.11,0.0
Gypceros,Bird Wyvern,0,0,0,0,0,0.73,0.07,0.0,0.45,0.21
Malfestio,Bird Wyvern,0,0,0,0,0,0.07,0.19,0.04,0.04,0.03
Nightcloak Malfestio,Bird Wyvern,0,0,0,0,0,0.07,0.19,0.04,0.04,0.03
Iodrome,Bird Wyvern,0,0,0,0,0,0.06,0.13,0.15,0.03,0.01
Kecha Wacha,Fanged Beast,0,0,0,0,1,0.55,0.0,0.16,0.1,0.0
Khezu,Flying Wyvern,0,0,0,1,0,0.76,0.03,0.0,0.05,0.04
Lagiacrus,Leviathan,0,0,0,1,1,0.27,0.0,0.0,0.14,0.11
Lagombi,Fanged Beast,0,0,1,0,0,0.28,0.0,0.09,0.0,0.0
Snowbaron Lagombi,Fanged Beast,0,0,1,0,0,0.23,0.0,0.11,0.0,0.0
Lavasioth,Piscine Wyvern,0,1,0,0,0,0.0,0.26,0.13,0.16,0.03
Mizutsune,Leviathan,0,0,0,0,1,0.15,0.0,0.73,0.14,0.32
Soulseer Mizutsune,Leviathan,0,1,0,0,1,0.17,0.0,0.62,0.16,0.37
Najarala,Snake Wyvern,0,0,0,0,0,0.04,0.19,0.08,0.96,0.02
Nargacuga,Flying Wyvern,0,0,0,0,0,0.45,0.03,0.85,0.1,0.24
Silverwind Nargacuga,Flying Wyvern,0,0,0,0,0,0.45,0.03,0.86,0.12,0.27
Nerscylla,Temnoceran,0,0,0,0,0,0.42,0.0,0.42,0.06,0.0
Nibelsnarf,Leviathan,0,0,0,0,1,0.0,0.25,0.55,0.96,0.07
Plesioth,Piscine Wyvern,0,0,0,0,1,0.31,0.0,0.44,0.03,0.02
Rajang,Fanged Beast,0,0,0,1,0,0.0,0.03,0.0,0.64,0.0
Furious Rajang,Fanged Beast,0,0,0,1,0,0.0,0.03,0.0,0.64,0.0
Rathalos,Flying Wyvern,0,1,0,0,0,0.0,0.05,0.26,0.08,0.37
Dreadking Rathalos,Flying Wyvern,0,1,0,0,0,0.01,0.1,0.46,0.15,0.83
Silver Rathalos,Flying Wyvern,0,1,0,0,0,0.0,0.7,0.5,0.25,0.0
Rathian,Flying Wyvern,0,1,0,0,0,0.0,0.06,0.21,0.09,0.41
Dreadqueen Rathian,Flying Wyvern,0,1,0,0,0,0.01,0.11,0.46,0.17,0.83
Gold Rathian,Flying Wyvern,0,1,0,0,0,0.0,0.33,0.8,0.17,0.0
Royal Ludroth,Leviathan,0,0,0,0,1,0.56,0.0,0.06,0.04,0.0
Seltas,Neopteron,0,0,0,0,0,0.16,0.03,0.31,0.05,0.0
Seltas Queen,Neopteron,0,0,0,0,1,0.65,0.0,0.12,0.68,0.0
Seregios,Flying Wyvern,0,0,0,0,0,0.01,0.15,0.76,0.3,0.07
Shogun Ceanataur,Carapaceon,0,0,0,0,1,0.31,0.04,0.54,0.21,0.0
Rustrazor Ceanataur,Carapaceon,0,0,0,0,1,0.26,0.07,0.63,0.33,0.0
Tetsucabra,Amphibian,0,0,1,0,0,0.0,0.63,0.58,0.12,0.07
Drilltusk Tetsucabra,Amphibian,0,0,1,0,0,0.0,0.4,0.35,0.08,0.11
Tigrex,Flying Wyvern,0,0,1,0,1,0.01,0.19,0.69,0.09,0.29
Grimclaw Tigrex,Flying Wyvern,0,0,1,0,1,0.01,0.22,0.77,0.16,0.41
Ukanlos,Flying Wyvern,0,0,1,0,0,0.75,0.04,0.51,0.0,0.36
Uragaan,Brute Wyvern,0,1,0,0,0,0.0,0.86,0.01,0.43,0.85
Crystalbeard Uragaan,Brute Wyvern,0,1,0,0,0,0.0,0.63,0.07,0.19,0.44
Velocidrome,Bird Wyvern,0,0,0,0,0,0.12,0.1,0.12,0.25,0.01
Volvidon,Fanged Beast,0,0,0,0,0,0.0,0.24,0.08,0.19,0.0
Yian Garuga,Bird Wyvern,0,1,0,0,0,0.01,0.34,0.01,0.18,0.08
Deadeye Yian Garuga,Leviathan,0,1,0,0,0,0.03,0.63,0.03,0.38,0.18
Yian Kut-Ku,Bird Wyvern,0,1,0,0,0,0.04,0.16,0.29,0.54,0.01
Zamtrios,Amphibian,0,0,1,0,1,0.75,0.0,0.77,0.0,0.08
Zinogre,Fanged Wyvern,0,0,0,1,0,0.19,0.28,0.0,0.82,0.09
Thunderlord Zinogre,Fanged Wyvern,0,0,0,1,0,0.18,0.23,0.0,0.88,0.08
Alatreon,Elder Dragon,1,1,1,1,0,0.17,0.21,0.02,0.17,0.42
Amatsu,Elder Dragon,0,0,0,0,1,0.7,0.0,0.06,0.09,0.6
Chameleos,Elder Dragon,1,0,0,0,0,0.97,0.0,0.34,0.0,0.6
Fatalis,Elder Dragon,1,1,0,0,0,0.27,0.03,0.03,0.16,0.39
Crimson Fatalis,Elder Dragon,1,1,0,0,0,0.02,0.23,0.07,0.97,0.82
White Fatalis,Elder Dragon,1,0,0,1,0,0.52,0.07,0.08,0.43,0.61
Kirin,Elder Dragon,0,0,0,1,0,0.2,0.16,0.0,0.18,0.06
Kushala Daora,Elder Dragon,1,0,1,0,0,0.14,0.02,1.0,0.0,1.0
Lao-Shan Lung,Elder Dragon,0,0,0,0,0,0.55,0.03,0.25,0.04,0.63
Nakarkos,Elder Dragon,1,1,0,1,0,0.19,0.0,0.03,0.0,0.45
Shagaru Magala,Elder Dragon,0,0,0,0,0,0.58,0.0,0.23,0.08,0.79
Teostra,Elder Dragon,1,1,0,0,0,0.0,0.33,0.12,0.54,0.42
Valstrax,Elder Dragon,1,0,0,0,0,0.72,0.59,0.72,0.91,0.0
